STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA+HIGH
EXP CORR1D BIAS(%) RMSE CORR2D
tr025_bmj01m     0.923975     -26.2822      1.85087     0.724072
tr025_bmj02     0.623153     -72.5516      3.54476     0.352098
tr025_bmj02sfc5     0.175820     -68.6766      3.71305     0.370010
tr025_bmj02ysu     0.830718     -26.4037      1.91874     0.676942
tr025_bmjpbl5     0.890011     -46.2610      2.28722     0.652006
tr025_cam01     0.951476      2.07372     0.977915     0.721338
tr025_kf01m     0.921684     -2.66702      1.34896     0.762504
tr025_kf02m     0.910091     -21.5238      1.51670     0.694631
tr025_kftemf01     0.586298     -49.9614      2.94614     0.549443
tr025_ra12L60     0.937301     -24.2393      1.64695     0.692172
tr025_ra12L60_sol094     0.949726     -16.1631      1.26521     0.750559
tr025_ra44L60     0.962108     -13.8557      1.10951     0.714425
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA+HIGH
EXP CORR1D BIAS(%) RMSE CORR2D
tr025_kf01m     0.921684     -2.66702      1.34896     0.762504
tr025_ra12L60_sol094     0.949726     -16.1631      1.26521     0.750559
tr025_bmj01m     0.923975     -26.2822      1.85087     0.724072
tr025_cam01     0.951476      2.07372     0.977915     0.721338
tr025_ra44L60     0.962108     -13.8557      1.10951     0.714425
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA+HIGH
EXP CORR1D BIAS(%) RMSE CORR2D
APHRO025     0.999766     -19.9434     0.881567     0.969759
tr12_bmj01     0.952470     -23.9874      1.44722     0.741997
tr12_bmj01ml60     0.948526     -14.0696      1.37001     0.809211
tr12_kf01     0.932269     -20.2208      1.49653     0.723245
OK

STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.753552      12.5373      1.27193     0.307854
tr025_ra12L60     0.944628      22.2343     0.771793     0.589437
tr12_bmj01ml60     0.961346      26.3880     0.735193     0.673839
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.986534      14.4653      3.38844     0.956499
tr025_ra12L60     0.988241      12.2571      2.58737     0.951326
tr12_bmj01ml60     0.987082      13.9253      2.90119     0.946855
OK
STATISTICS FOR VAR:Q2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.956328     -16.5859      1.71336     0.845045
tr025_ra12L60     0.974837     -16.0740      1.54187     0.905491
tr12_bmj01ml60     0.990820     -14.5144      1.31816     0.924660
OK
STATISTICS FOR VAR:T2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.984041    -0.184477      2.22338     0.980860
tr025_ra12L60     0.982775     -2.14944      1.62760     0.977525
tr12_bmj01ml60     0.983624    -0.806427      1.68565     0.969773
OK
STATISTICS FOR VAR:GSW DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.703133      12.6856      37.8821     0.299798
tr025_ra12L60     0.760697      15.0171      36.7751     0.384027
tr12_bmj01ml60     0.754718      17.8724      40.5700     0.456107
OK
STATISTICS FOR VAR:LWR DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.175771      5.16334      19.5208     0.788132
tr025_ra12L60     0.515638      14.9573      18.3485     0.851168
tr12_bmj01ml60     0.579971      21.5818      21.5439     0.890162
OK
STATISTICS FOR VAR:LH DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.598030     -28.1346      20.0908     0.441141
tr025_ra12L60     0.746049     -21.8562      16.1717     0.555177
tr12_bmj01ml60     0.762366     -20.7421      15.6029     0.605110
OK
STATISTICS FOR VAR:HFX DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.650925      46.9394      27.4474     0.198135
tr025_ra12L60     0.768507      46.3376      24.2466     0.383323
tr12_bmj01ml60     0.775023      52.4098      26.1808     0.460878
OK
STATISTICS FOR VAR:NET DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.863421      6174.51      15.6278     0.417609
tr025_ra12L60     0.911420      3369.93      8.76747     0.439141
tr12_bmj01ml60     0.946710      2060.02      5.52552     0.438114
OK
STATISTICS FOR VAR:TPOT DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
